"TIMESTAMP","NEE_VUT_REF","TA_F_MDS","P_ERA","VPD_F_MDS","SW_IN_F_MDS","LE_F_MDS","TA_F_MDS_gw","P_ERA_gw","VPD_F_MDS_gw","SW_IN_F_MDS_gw","LE_F_MDS_gw","TA_F_MDS_ngw","P_ERA_ngw","VPD_F_MDS_ngw","SW_IN_F_MDS_ngw","LE_F_MDS_ngw","site_ID","isubts"
2021,-284.908604406338,7.96917728310501,934.087999999948,2.10832146118722,125.976125000005,31.1647674249236,13.9666041666667,508.8,3.70252430555556,205.869568965517,55.4261270775742,2.50555279232112,425.288,0.656011016579407,53.1936158376963,9.06279580418423,"SE-Htm",71
2022,-130.306412170114,8.66773436073061,807.221999999958,2.4076243150685,132.561704851603,35.0941920373945,13.8732454501916,441.432,3.97916103927203,212.815106561303,58.3523994966738,3.9255410122164,365.79,0.975962587260035,59.4512760689354,13.9060868127105,"SE-Htm",71
2023,122.434343779969,7.59690542237441,1027.80599999997,2.26933818493155,122.008103367579,33.4631740493453,12.5803886494253,441.362,3.8938435105364,205.528654693487,58.1174814066116,3.05697829406632,586.444,0.789422338568935,45.9213183900524,11.003229127019,"SE-Htm",71
2014,188.648494252912,7.94475239726027,536.515999999979,3.04920776255708,114.270627397255,24.832636769898,14.3470559807256,232.496,5.32319529478458,205.125285856009,49.3129851379677,3.62760273318043,304.02,1.51583084862385,53.0062476108563,8.32524589785102,"SE-Nor",72
2015,304.097768889329,7.64219937214612,567.491999999986,2.86622642694065,113.735758561645,26.6866684573323,13.3476288265306,336.78,4.57935034013606,192.756927154195,50.3701366819586,3.79496024464832,230.712,1.71104654051988,60.4508421253823,10.7166233700842,"SE-Nor",72
2016,487.076242767884,6.72507889344261,522.541999999985,2.84290306238612,113.489423269581,25.3681316479736,14.4962096088435,263.058,5.47209580498866,206.505870181406,49.6458998180981,1.50884046803653,259.484,1.0781024543379,51.0537260273973,9.07209547898592,"SE-Nor",72
2017,387.381027729096,6.6010241438356,543.801999999986,2.75896101598174,113.031067522834,26.1652755456877,13.3800419501134,241.686,5.17943891723356,203.733858985261,50.1823582172661,2.02985158639144,302.116,1.12680389908257,51.8690934633028,9.9702702579721,"SE-Nor",72
2018,295.688341934927,7.32544691780821,444.401999999989,3.90111877853886,126.034487385848,27.8062626986262,16.638012329932,218.246,7.96063421201814,225.9875,54.9321895242064,1.04587299311927,226.156,1.16373910550459,58.6349788799694,9.51492671990921,"SE-Nor",72
2019,266.320929877847,6.87838544520547,673.107999999975,2.81445713470317,116.561057305934,31.4129740643401,14.1898975340136,306.746,4.98205527210884,205.877153769841,61.8565573760771,1.94814564220184,366.362,1.35281985856269,56.3341482224771,10.8845027486275,"SE-Nor",72
2020,259.354322153855,8.23361674635701,496.841999999986,3.25254576502728,120.542583959473,32.4181775865047,14.0128433956916,217.944,5.84196386054422,216.951632936508,61.4534212643835,4.3544098173516,278.898,1.51444320776256,55.829660673516,12.9287674465587,"SE-Nor",72
2021,164.095294583916,6.45944360730595,540.113999999973,2.95922625570776,111.33062140411,30.8096308285297,14.2979519557823,315.538,5.40828528911565,193.918530895692,59.1600991899376,1.1738439411315,224.576,1.30779654051988,55.6406090405199,11.6925718875805,"SE-Nor",72
2022,42.9103819699917,7.2036584474886,617.707999999973,3.27615644977168,122.387805251147,29.4009217473736,14.6068687641723,393.528,5.86686507936508,208.905053854875,58.4911520984495,2.21158543577982,224.18,1.52921072247706,64.0481926605505,9.78503247394171,"SE-Nor",72
2015,-167.524546430737,3.6206821347032,641.663999999981,2.0858776826484,98.531195547942,21.4034351356721,10.6616105654762,312.734,3.69273169642857,176.517221428571,44.8709219973214,-0.76034,328.93,1.08605740740741,50.0065572222222,6.80144331064583,"SE-Svb",73
2016,-130.544620640194,2.89291006375227,541.675999999985,2.14877322404372,102.691418772764,26.1252015091001,11.7608702380952,254.746,4.27268839285714,192.063190922619,56.2574497032738,-2.60051659292035,286.93,0.833073561946903,47.3283740781711,7.45920705253226,"SE-Svb",73
2018,-128.948513172261,3.27716706621005,446.829999999988,3.10782876712328,110.675126426934,23.8341591243591,13.574696875,178.194,6.38432767857143,207.03104077381,52.3338141706548,-3.13018481481481,268.636,1.06911833333333,50.7203352777778,6.1010404288863,"SE-Svb",73
2019,-197.819741186825,2.4972093607306,575.861999999984,2.54636461187215,106.740207876709,20.6087050632563,11.3715208333333,274.64,4.49334181547619,188.595895684524,44.2422558127232,-3.02458444444445,301.222,1.33491212962963,55.8077799074074,5.9033845969213,"SE-Svb",73
2020,-134.08640508767,4.0795591985428,777.969999999981,2.53427111794172,106.529730931242,20.2444822029116,11.5272444940476,322.156,5.01582083333333,199.708629910714,44.2079396089286,-0.534051161504425,455.814,0.997027931415929,48.8082890855457,5.3998625708656,"SE-Svb",73
2021,-24.3543471699309,3.02722768264843,591.047999999972,2.99151398401826,105.507491210043,23.439352702724,12.8456421130952,249.478,6.01231949404762,195.856641964286,49.3423612015476,-3.08200796296296,341.57,1.11190166666667,49.2902418518519,7.32192519234491,"SE-Svb",73
2022,-79.9164286518935,4.01217442922377,568.775999999983,2.81536923515982,106.005083162099,24.2657010574413,12.7252276785714,326.12,5.09530550595238,192.239833482143,51.3567211619583,-1.40928092592593,242.656,1.39674222222222,52.3479051851852,7.40906632574167,"SE-Svb",73
2023,-64.1070860136509,3.26599805936074,572.847999999983,2.88827648401826,109.953829509131,21.8354812909146,13.5950693452381,278.222,5.60615238095238,197.023621875,46.7888794163676,-3.16097962962963,294.626,1.1971537037037,55.7770698148148,6.30892245729963,"SE-Svb",73
2016,-100.914,NA,2986.168,NA,146.162,42.3656,NA,370.77,NA,228.759787037037,88.1533416666667,NA,2615.404,NA,111.586430232558,23.1986318604651,"US-ALQ",74
2019,-142.754,3.461,3798.266,2.699,147.011,33.0811,16.0994537037037,781.385,5.28506481481481,240.244111111111,72.2324787037037,-1.84977821011673,3016.874,1.61262645914397,107.831299610895,16.6283608365759,"US-ALQ",74
2020,-136.824,4.29,3415.079,2.905,152.317,36.4209,16.7605833333333,394.466,5.44639814814815,241.508018518519,77.1499805555556,-0.930837209302326,3020.605,1.84049612403101,114.980864341085,19.3715436449612,"US-ALQ",74
2021,-81.3713,4.893,3366.889,3.045,153.256,34.4264,17.29725,894.177,5.61243518518519,240.67812037037,71.9848953703704,-0.319785992217901,2472.702,1.9655719844358,116.518175097276,18.6430919832685,"US-ALQ",74
2022,-129.474,3.473,3349.757,2.817,144.241,32.2177,16.8334907407407,1378.093,5.32530555555556,231.879148148148,70.2114212962963,-2.14191828793774,1971.671,1.76337354085603,107.412708171206,16.2514939101946,"US-ALQ",74
2023,-252.822,5.638,3838.036,2.991,137.739,33.7097,16.4232407407407,619.966,5.18611111111111,211.963925925926,72.2392296296296,1.10596887159533,3218.071,2.06809727626459,106.547513618677,17.5182730560311,"US-ALQ",74
2011,13.2117,-2.509,273.397,3.489,109.297,20.8239,14.4611304347826,55.421,7.75134782608696,204.529486956522,51.9295147826087,-10.315924,217.966,1.528156,65.490552,6.5153339028,"US-BZB",75
2012,-38.6443,-4.286,245.12,3.23,99.984,19.8937,13.9288956521739,53.746,7.11660869565217,196.196234782609,50.4419713043478,-12.6318486055777,191.382,1.44972111553785,55.9033784860558,5.89746681788845,"US-BZB",75
2014,11.8252,-0.98,274.404,3.275,105.223,19.8921,13.2824,66.255,6.55692173913044,191.045904347826,49.0505034782609,-7.541344,208.154,1.764596,65.7452,6.4792681376,"US-BZB",75
2015,11.7447,-0.898,304.388,3.571,105.953,20.9918,14.455347826087,58.668,7.89893043478261,201.442686956522,50.6118892173913,-7.960028,245.718,1.579944,62.027312,7.3664920672,"US-BZB",75
2016,13.2062,0.015,232.262,3.533,102.114,21.1484,15.0381130434783,63.826,7.08288695652174,190.427852173913,49.7410486956522,-6.86852589641434,168.432,1.907203187251,61.6508406374502,8.04822065517928,"US-BZB",75
2017,-32.2732,-0.769,271.457,3.651,109.023,22.2039,15.066452173913,62.886,8.00220869565217,206.967286956522,54.0859356521739,-8.05326,208.57,1.649388,63.968404,7.5381281902,"US-BZB",75
