Climateclass,IGBP,MAP,MAT,canopyH_Lang,sd_Lang,site_ID,source,timestamp,.geo
Dfb,ENF,996,5.5,28.36118491,8.507810421,DE-Obe,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[13.721291592903613,50.79565830900905],[13.712845617331753,50.79390322525799],[13.707694904584214,50.789322767110406],[13.707847688618049,50.783703807308044],[13.713242730106465,50.779237722200904],[13.72177552776565,50.777665780509444],[13.730119685561252,50.779600758680374],[13.73502224369075,50.78428835325246],[13.73457055697264,50.78990088350469],[13.72893913716775,50.79424940955181],[13.721291592903613,50.79565830900905]]]}"
Dfb,ENF,627,4.6,21.7021881,8.091220279,FI-Let,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[23.959521384646948,60.65082902475611],[23.94862937175527,60.64907380359984],[23.9419877364125,60.6444931267749],[23.942185698326238,60.63887417494894],[23.949142959307405,60.63440831317766],[23.960145374136122,60.63283649580547],[23.970904610236627,60.63477132432853],[23.977226925444196,60.63945870588335],[23.97664540609747,60.64507125961456],[23.969383765619,60.649420012644235],[23.959521384646948,60.65082902475611]]]}"
Dfb,ENF,1291,7.8,25.1797375,7.77668115,IT-Lav,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[11.281320546569612,45.96519886073114],[11.273640114283134,45.96344382464888],[11.268956072753868,45.95886344237243],[11.269094780861467,45.95324447981155],[11.274000873807342,45.94877831721672],[11.281760641466299,45.94720633238805],[11.28934884479986,45.949141362484625],[11.29380705256467,45.95382903096298],[11.293396066889926,45.95944155306025],[11.288274909314682,45.963790000356],[11.281320546569612,45.96519886073114]]]}"
Dfb,ENF,711,3.9,30.28215615,7.637458373,RU-Fyo,EuropFlux_FLUXNET2020,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[32.922082628818394,56.47052880557589],[32.912417741298356,56.468773651385206],[32.90652403676938,56.46419308113062],[32.90669929352252,56.45857412541266],[32.91287283223502,56.4541081548009],[32.92263636009094,56.45253627684505],[32.932184066179666,56.45447117829511],[32.937794122322444,56.45915866366247],[32.93727769471813,56.46477120595613],[32.93083387146278,56.4691198483673],[32.922082628818394,56.47052880557589]]]}"
Dfc,ENF,962.32,-0.36,12.20567734,4.898826602,CA-Qfo,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-74.3421015493423,49.70150192891871],[-74.3503558119146,49.69974685678497],[-74.35538965958771,49.69516641712753],[-74.35524040316386,49.68954745665248],[-74.34996780710998,49.68508135266126],[-74.34162859293366,49.68350940045725],[-74.3334737427,49.685444391282466],[-74.3286824618653,49.690132003865905],[-74.32912395868148,49.69574453213115],[-74.3346275968027,49.70009303898615],[-74.3421015493423,49.70150192891871]]]}"
Dfc,ENF,1200,0.8,19.08948827,6.387161011,US-GLE,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-106.2398974524768,41.37549965563194],[-106.24701192562283,41.37374465770654],[-106.25135094785036,41.36916433616453],[-106.25122262968813,41.36354537139876],[-106.24667801608082,41.35907914677537],[-106.2394897697718,41.357507127414124],[-106.23246046237298,41.35944219907859],[-106.22833076002787,41.364129926718086],[-106.22871163865777,41.369742442284085],[-106.23345555190497,41.374090826540325],[-106.2398974524768,41.37549965563194]]]}"
Dfc,ENF,520,-3.2,12.463557,4.824913889,CA-Man,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-98.48079853251882,55.888598281696986],[-98.49031801042115,55.886843135660826],[-98.49612308348277,55.88226257838399],[-98.4959505117367,55.87664362219271],[-98.48986984248496,55.87217763832671],[-98.48025312714752,55.8706057529929],[-98.47084899133627,55.872540663324095],[-98.46532333556733,55.877228161333306],[-98.4658320442894,55.88284070223354],[-98.47217895528163,55.88718933117405],[-98.48079853251882,55.888598281696986]]]}"
Dfc,DBF,428.53,0.34,9.444570303,7.200728637,CA-Oas,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-106.19779907943122,53.637898238677565],[-106.206803466652,53.63614312201776],[-106.21229456910555,53.63156261149377],[-106.21213149946675,53.625943653598405],[-106.20637980799042,53.62147762198354],[-106.19728316821063,53.61990571006991],[-106.1883876219176,53.62184065239621],[-106.18316094189531,53.626528195948005],[-106.1836422980927,53.63214073182722],[-106.18964590585074,53.63648931223944],[-106.19779907943122,53.637898238677565]]]}"
Dfc,ENF,405.6,0.79,12.96032318,5.394764068,CA-Obs,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-105.11779588608454,53.9962003856251],[-105.1268775841822,53.994445264502644],[-105.13241581179021,53.989864746876215],[-105.13225131686026,53.98424578923961],[-105.12645024829486,53.97977976487851],[-105.11727554794021,53.9782078570028],[-105.10830366512215,53.980142794468506],[-105.10303211122837,53.98483033110172],[-105.10351757376034,53.990442867743816],[-105.10957270918112,53.99479145552819],[-105.11779588608454,53.9962003856251]]]}"
Dfc,ENF,430.5,0.12,16.62268688,5.769220999,CA-Ojp,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-104.69200078559203,53.9253006788753],[-104.70106705229091,53.923545558641976],[-104.70659587364892,53.91896504243062],[-104.7064316632349,53.91334608474245],[-104.70064045042442,53.90888005893613],[-104.69148133106752,53.90730815025593],[-104.68252468512605,53.90924308869003],[-104.67726208814085,53.9139306267017],[-104.67774673106702,53.919543163191804],[-104.68379158148659,53.92389174950735],[-104.69200078559203,53.9253006788753]]]}"
Dfc,ENF,1062,2.8,23.85478669,9.236748198,CH-Dav,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[9.855910926521945,46.82432940159751],[9.848108626639103,46.822574357674156],[9.843350293747662,46.817993962917335],[9.843491240806602,46.8123750008099],[9.84847517041959,46.80790885096136],[9.85635800053623,46.806336873228666],[9.864066547874595,46.808271894783594],[9.868595492356151,46.81295955110483],[9.868178025534801,46.81857207454385],[9.862975637457788,46.82292053479372],[9.855910926521945,46.82432940159751]]]}"
Dfc,ENF,709,3.8,20.715941,9.674958191,FI-Hyy,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[24.29476997914817,61.85640496286891],[24.28345200604011,61.85464971907849],[24.276550764976253,61.85006900623484],[24.276756627880996,61.84445005572634],[24.28398592982173,61.839984230740995],[24.295418354641562,61.83841243384399],[24.306598106531663,61.84034723772019],[24.313167659848347,61.845034584188106],[24.31256356645615,61.850647141782964],[24.30501805956404,61.85499593219986],[24.29476997914817,61.85640496286891]]]}"
Dfc,WET,701,3.5,12.27798511,7.938765216,FI-Sii,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[24.192848306369555,61.84164979748304],[24.181535778582397,61.83989455398036],[24.174637856170378,61.835313841594605],[24.174843618007465,61.82969489106934],[24.18206944229169,61.825229065616355],[24.193496370127864,61.82365726845907],[24.204670746398296,61.82559207264858],[24.211237139117674,61.830279419562544],[24.21063333423617,61.8358919771083],[24.20309145614136,61.84024076704992],[24.192848306369555,61.84164979748304]]]}"
Dfc,ENF,809.3,4.7,24.10825107,7.824357475,IT-Ren,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[11.43368802956586,46.59585844092211],[11.425918685096207,46.594103399108164],[11.421180442007943,46.58952300770882],[11.421320783545918,46.58390404547938],[11.426283664597985,46.57943789220184],[11.43413321629517,46.57786591256018],[11.441809220331196,46.57980093641298],[11.446319036207692,46.584488596004725],[11.445903321949213,46.5901011190828],[11.4407229001618,46.594449575847754],[11.43368802956586,46.59585844092211]]]}"
Dfc,WET,523,1.2,9.157536285,6.048051854,SE-Deg,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[19.55653811795869,64.19102974681526],[19.544276278115845,64.18927445369087],[19.536799818354684,64.18469366234287],[19.537023225135606,64.1790747147094],[19.544855321498353,64.1746089699005],[19.557240525516633,64.17303721762842],[19.569352022458077,64.17497196778757],[19.57646941712077,64.17965923778165],[19.575815341263617,64.18527180379395],[19.567640854303317,64.18962067569848],[19.55653811795869,64.19102974681526]]]}"
Dfc,ENF,614,1.8,14.48570173,10.39098697,SE-Svb,EuropFlux_FLUXNET2023,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[19.77449897745112,64.26510879261615],[19.762204260329018,64.2633534977908],[19.75470776499467,64.25877270373616],[19.75493178378218,64.25315375620193],[19.76278487677534,64.24868801415728],[19.775203266987923,64.24711626342373],[19.787347217541697,64.24905101173088],[19.794483694841166,64.25373827908834],[19.793827878925484,64.25935084539076],[19.785631483667935,64.26369972010478],[19.77449897745112,64.26510879261615]]]}"
